GUID: 190664, Type: HarborOfficeItem, Rarity: Common, Name: Bruiser, Probability: 1,4814814814814816 
GUID: 190694, Type: HarborOfficeItem, Rarity: Common, Name: Carpenter, Probability: 0,7407407407407408 
GUID: 190680, Type: HarborOfficeItem, Rarity: Common, Name: Guide, Probability: 4,444444444444445 
GUID: 191432, Type: HarborOfficeItem, Rarity: Common, Name: Gunner, Probability: 1,4814814814814816 
GUID: 191433, Type: HarborOfficeItem, Rarity: Uncommon, Name: Artillerywoman, Probability: 2,2222222222222223 
GUID: 190665, Type: HarborOfficeItem, Rarity: Uncommon, Name: Scammer, Probability: 2,2222222222222223 
GUID: 190695, Type: HarborOfficeItem, Rarity: Uncommon, Name: Ship Builder, Probability: 1,1111111111111112 
GUID: 190681, Type: HarborOfficeItem, Rarity: Uncommon, Name: Souvenir Seller, Probability: 6,666666666666667 
GUID: 190669, Type: TownhallItem, Rarity: Common, Name: Bartender, Probability: 0,7407407407407408 
GUID: 190675, Type: TownhallItem, Rarity: Common, Name: Fellow, Probability: 0,7407407407407408 
GUID: 190726, Type: TownhallItem, Rarity: Common, Name: Fool, Probability: 0,7407407407407408 
GUID: 191564, Type: TownhallItem, Rarity: Common, Name: Governess, Probability: 0,7407407407407408 
GUID: 191466, Type: TownhallItem, Rarity: Common, Name: Grocer, Probability: 2,2222222222222223 
GUID: 191569, Type: TownhallItem, Rarity: Common, Name: Housemaid, Probability: 0,7407407407407408 
GUID: 191575, Type: TownhallItem, Rarity: Common, Name: Lender, Probability: 0,7407407407407408 
GUID: 191006, Type: TownhallItem, Rarity: Common, Name: Sergeant, Probability: 1,4814814814814816 
GUID: 191576, Type: TownhallItem, Rarity: Uncommon, Name: Banker, Probability: 1,1111111111111112 
GUID: 190727, Type: TownhallItem, Rarity: Uncommon, Name: Comedian, Probability: 1,1111111111111112 
GUID: 191570, Type: TownhallItem, Rarity: Uncommon, Name: Footman, Probability: 1,1111111111111112 
GUID: 191007, Type: TownhallItem, Rarity: Uncommon, Name: Inspector, Probability: 2,2222222222222223 
GUID: 190676, Type: TownhallItem, Rarity: Uncommon, Name: Lecturer, Probability: 1,1111111111111112 
GUID: 191467, Type: TownhallItem, Rarity: Uncommon, Name: Peddler, Probability: 3,3333333333333335 
GUID: 190671, Type: TownhallItem, Rarity: Uncommon, Name: Publican, Probability: 1,1111111111111112 
GUID: 191565, Type: TownhallItem, Rarity: Uncommon, Name: Schoolteacher, Probability: 1,1111111111111112 
GUID: 190711, Type: GuildhouseItem, Rarity: Common, Name: Abbé, Probability: 2,2222222222222223 
GUID: 190615, Type: GuildhouseItem, Rarity: Common, Name: Angler, Probability: 0,14336917562724014 
GUID: 190628, Type: GuildhouseItem, Rarity: Common, Name: Baker, Probability: 0,14336917562724014 
GUID: 190699, Type: GuildhouseItem, Rarity: Common, Name: Boilermaker, Probability: 0,14336917562724014 
GUID: 190740, Type: GuildhouseItem, Rarity: Common, Name: Burner, Probability: 0,14336917562724014 
GUID: 191384, Type: GuildhouseItem, Rarity: Common, Name: Butcher, Probability: 0,14336917562724014 
GUID: 191394, Type: GuildhouseItem, Rarity: Common, Name: Canner, Probability: 0,14336917562724014 
GUID: 191425, Type: GuildhouseItem, Rarity: Common, Name: Carpenter, Probability: 0,7407407407407408 
